,Marka_Model_0,Marka_Model_1,Marka_Model_2,Marka_Model_3,Marka_Model_4,Marka_Model_5,Marka_Model_6,Marka_Model_7,Hiz,MaxTork,Silindir,Depo,Tuketim,Sübap,Guvenlik Group,Konfor Group,Tsi(Turbo Supercharger Injection),Yakit,Max_Güc,Garanti,Aktarma,Renk_Açık Gri,Renk_Açık Kırmızı,Renk_Açık Mavi,Renk_Açık Sarı,Renk_Bakır,Renk_Bej,Renk_Beyaz,Renk_Beyaz Siyah,Renk_Bronz,Renk_Fildişi,Renk_Gri,Renk_Gri Siyah,Renk_Gümüş,Renk_Kahverengi,Renk_Koyu Gri,Renk_Koyu Kırmızı,Renk_Koyu Mor,Renk_Koyu Turuncu,Renk_Kırmızı,Renk_Kırmızı Beyaz,Renk_Kırmızı Siyah,Renk_Lacivert,Renk_Mavi,Renk_Mavi Beyaz,Renk_Mavi Siyah,Renk_Metalik Beyaz,Renk_Metalik Gri,Renk_Metalik Kırmızı,Renk_Metalik Mavi,Renk_Metalik Siyah,Renk_Metalik Yeşil,Renk_Sarı,Renk_Sarı Siyah,Renk_Siyah,Renk_Turuncu,Renk_Yeşil,Kasa_Tipi_Arazi aracı,Kasa_Tipi_Cabriolet,Kasa_Tipi_Cityvan,Kasa_Tipi_Coupe,Kasa_Tipi_Hatchback,Kasa_Tipi_MPV,Kasa_Tipi_Minibüs,Kasa_Tipi_Pick-up,Kasa_Tipi_Sedan,Kasa_Tipi_Wagon,Sanziman,Model_Yili,Konum_Akdeniz Bölgesi,Konum_Ege Bölgesi,Konum_GüneyDoğu Anadolu Bölgesi,Konum_Karadeniz Bölgesi,Konum_Marmara Bölgesi,Konum_İç Anadolu Bölgesi,Fiyat
396,0,0,0,0,0,0,0,1,187.0,175.0,3.0,40.0,5.300000190734863,12.0,7,11,1.0,3,95,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,16,0,0,0,0,1,0,552000
397,0,0,0,0,0,0,0,1,187.0,175.0,3.0,40.0,5.300000190734863,12.0,7,11,1.0,3,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,16,1,0,0,0,0,0,580000
398,0,0,0,0,0,0,1,0,170.0,250.0,4.0,55.0,5.800000190734863,16.0,10,13,2.0,2,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,16,0,0,0,0,1,0,585000
399,0,0,0,0,0,0,1,0,170.0,250.0,4.0,55.0,5.800000190734863,16.0,10,13,2.0,2,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,16,0,0,0,0,1,0,625000
400,0,0,0,0,0,0,0,1,187.0,175.0,3.0,40.0,5.300000190734863,12.0,8,11,1.0,3,95,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,16,0,0,0,0,1,0,632900
401,0,0,0,0,0,0,0,1,185.0,250.0,4.0,40.0,4.599999904632568,16.0,7,13,1.6,2,95,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,16,1,0,0,0,0,0,640000
402,0,0,0,0,0,0,1,1,216.0,250.0,4.0,50.0,6.5,16.0,8,15,1.5,3,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,16,0,0,0,0,1,0,725000
403,0,0,0,0,0,0,1,1,216.0,250.0,4.0,50.0,6.5,16.0,8,15,1.5,3,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,16,0,1,0,0,0,0,729900
404,0,0,0,0,0,0,1,1,216.0,250.0,4.0,50.0,6.5,16.0,8,15,1.5,3,150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,16,1,0,0,0,0,0,750000
405,0,0,0,0,0,1,0,1,220.0,250.0,4.0,59.0,6.599999904632568,16.0,6,12,1.5,3,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16,0,0,0,1,0,0,792500
